-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	3	13	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	2	12	5	3	12	-1	0	0	-1	0	0	-1	0	0	5	21	7	-1	0	0	5	5	19	5	6	19	-1	0	0	5	2	12	5	3	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0
-1	0	0	5	12	16	5	13	16	5	14	16	-1	0	0	5	19	0	5	20	0	5	21	0	-1	0	0	5	21	8	-1	0	0	5	19	0	5	20	0	5	21	0	5	15	4	-1	0	0	5	9	17	5	10	17	5	11	17	-1	0	0
-1	0	0	5	12	17	5	13	17	5	14	17	-1	0	0	5	19	1	5	20	1	5	21	1	-1	0	0	-1	0	0	-1	0	0	5	19	1	5	20	1	5	21	1	5	15	5	-1	0	0	5	9	18	5	10	18	5	11	18	-1	0	0
-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
5	8	14	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	14	22	5	15	22	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	14
5	8	15	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	14	23	5	15	23	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	15
5	8	16	-1	0	0	-1	0	0	-1	0	0	5	8	9	5	9	9	5	14	0	-1	0	0	-1	0	0	5	22	0	5	23	0	-1	0	0	-1	0	0	-1	0	0	5	8	9	5	9	9	5	14	0	-1	0	0	-1	0	0	5	8	16
5	8	17	-1	0	0	-1	0	0	-1	0	0	5	8	10	5	9	10	5	14	0	-1	0	0	-1	0	0	5	22	1	5	23	1	-1	0	0	-1	0	0	-1	0	0	5	8	10	5	9	10	5	14	0	-1	0	0	-1	0	0	5	8	17
5	8	18	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	18
5	8	14	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	14	22	5	15	22	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	14
5	8	15	-1	0	0	-1	0	0	-1	0	0	5	8	9	5	9	9	5	14	0	-1	0	0	-1	0	0	5	14	23	5	15	23	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	15
5	8	16	-1	0	0	-1	0	0	-1	0	0	5	8	10	5	9	10	5	14	0	-1	0	0	-1	0	0	5	22	0	5	23	0	-1	0	0	-1	0	0	-1	0	0	5	8	9	5	9	9	5	14	0	-1	0	0	-1	0	0	5	8	16
5	8	17	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	22	1	5	23	1	-1	0	0	-1	0	0	-1	0	0	5	8	10	5	9	10	5	14	0	-1	0	0	-1	0	0	5	8	17
5	8	18	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	5	8	18
